as_of,a,b,beta,adf_stat,adf_pvalue
2025-01-03,MSFT,QCOM,0.24899347722495563,-3.1970549500335763,0.020155784408837068
2025-01-03,GOOG,META,0.416235861419167,-1.5982811650542776,0.4844568474353925
2025-01-03,GOOG,NVDA,0.26557386936605654,-2.0219978122106133,0.2770118874536986
2025-01-03,GOOG,AMD,-0.4426586897928644,-3.3910918550423084,0.01126632421121067
2025-01-03,GOOG,INTC,-0.19514371440927794,-2.0697541438690403,0.2568491991006135
2025-01-03,GOOG,ADBE,-0.5333772018527916,-2.6063554739364503,0.09169082184940691
2025-01-03,GOOG,ORCL,0.316924881213727,-1.676437826970915,0.44329146894962507
2025-01-03,GOOG,CRM,0.062300367311117155,-1.5699217957503309,0.49868282826116017
2025-01-03,GOOG,CSCO,0.3436059095683828,-1.8676060759550617,0.3474502630590228
2025-01-03,GOOG,QCOM,0.48541300636612295,-1.0613947456116508,0.7302192463499135
2025-01-03,META,NVDA,0.3936341648148901,-2.433911588587694,0.13239293016533416
2025-01-03,META,AMD,-0.3600001870867765,-3.676612792563231,0.004454404482180908
2025-01-03,META,INTC,-0.3107748077372321,-3.247042146632504,0.017418144636505702
2025-01-03,META,ADBE,-0.6326663439721237,-2.8077498992305823,0.05717524912458749
2025-01-03,META,ORCL,0.5852007323137234,-3.55471518234085,0.006688184666021461
2025-01-03,META,CRM,0.5338168794395286,-2.762264146105273,0.06386951259870474
2025-01-03,META,CSCO,0.898918316274956,-3.7755872923332783,0.0031672010437045267
2025-01-03,META,QCOM,0.22434592469229866,-2.152060863270921,0.22410207674163374
2025-01-03,NVDA,AMD,-0.9520799365604415,-3.734326230297858,0.003655429543418161
2025-01-03,NVDA,INTC,-0.7349358096653831,-3.0374679700641347,0.0315404431309295
2025-01-03,NVDA,ADBE,-1.3575372424750534,-2.8142817573517362,0.0562625021124738
2025-01-03,NVDA,ORCL,1.2959915169063492,-2.6925839171972163,0.07533039056984216
2025-01-03,NVDA,CRM,0.39847375702651994,-2.7803700566887377,0.061132936105656205
2025-01-03,NVDA,CSCO,1.4651549636916832,-3.3147610700183505,0.01423141054696724
2025-01-03,NVDA,QCOM,1.268292200615433,-1.0107349063729594,0.7493288819866413
2025-01-03,AMD,INTC,0.27803703782975675,-3.5538606135509117,0.006706909704385973
2025-01-03,AMD,ADBE,0.4278894736485168,-2.3031615153033957,0.17095034728591746
2025-01-03,AMD,ORCL,-0.3178114009267937,-2.915735508271707,0.04354853252893169
2025-01-03,AMD,CRM,-0.18116558096079266,-2.1192979008575548,0.23682595047952631
2025-01-03,AMD,CSCO,-0.6469405294208118,-2.667672540405607,0.07980132271573603
2025-01-03,AMD,QCOM,0.21940612532964024,-1.5645441626011072,0.5013754911452981
2025-01-03,INTC,ADBE,1.2358969926690286,-1.4931320438802622,0.536906041430819
2025-01-03,INTC,ORCL,-1.2429018418498905,-2.524328855867804,0.10966650235146591
2025-01-03,INTC,CRM,-0.2257383472848928,-1.2105347702763383,0.6690475810389406
2025-01-03,INTC,CSCO,-1.6454569046659122,-1.9766139722497802,0.2969202426155916
2025-01-03,INTC,QCOM,-0.34851731898570104,-1.0360599060837097,0.7398861946591438
2025-01-03,ADBE,ORCL,-0.14689813492598983,-1.8972907173973892,0.3333367142538571
2025-01-03,ADBE,CRM,-0.15990189021188173,-1.9698100427051304,0.2999651624310786
2025-01-03,ADBE,CSCO,-0.2142246354461721,-1.933968081035211,0.3162539884206805
2025-01-03,ADBE,QCOM,-0.2762845806424552,-1.7974267396938859,0.38173999226921485
2025-01-03,ORCL,CRM,0.6882056789931927,-1.5605629406419208,0.5033677452746336
2025-01-03,ORCL,CSCO,1.617803708316651,-2.394072490364817,0.14341639847646825
2025-01-03,ORCL,QCOM,0.17767086967108542,-1.1398357343925496,0.698927374274761
2025-01-03,CRM,CSCO,0.9784392041018662,-2.4832434857230634,0.11960477971260325
2025-01-03,CRM,QCOM,-0.45341856144988824,-2.62800168049131,0.08734688028644694
2025-01-03,CSCO,QCOM,-0.31146140085225443,-0.2191581071277213,0.9361991599993125
2025-02-05,AAPL,MSFT,1.775939932353066,-1.4478359075894136,0.5591405054146572
2025-02-05,AAPL,GOOG,0.8724171694386316,-1.5045393620356582,0.5312645981460185
2025-02-05,AAPL,META,0.8597437144776063,-1.3342973046467161,0.613338897481706
2025-02-05,AAPL,NVDA,0.5260225849683685,-3.1335625611495557,0.02416706819555417
2025-02-05,AAPL,AMD,-0.6141619274926537,-2.0988994625224753,0.24495736337601098
2025-02-05,AAPL,INTC,-0.37775007942490546,-2.335160924581384,0.1608784468876593
2025-02-05,AAPL,ADBE,-0.17970375745084766,-0.999228619323223,0.7535455405885352
2025-02-05,AAPL,ORCL,0.6251669362198029,-2.2755492495752714,0.17997511284031292
2025-02-05,AAPL,CRM,0.2456351989503533,-1.1258982472077963,0.7046342733330103
2025-02-05,AAPL,CSCO,0.8119627640442106,-1.3739400762265368,0.5947038631787902
2025-02-05,AAPL,QCOM,-0.029184515897537677,-0.9897074969565519,0.7569997198400913
2025-02-05,MSFT,GOOG,0.215784471029907,-3.202341525262203,0.0198495419839251
2025-02-05,MSFT,META,0.11833961176928198,-2.8194748923455535,0.05554531580140486
2025-02-05,MSFT,NVDA,0.0948470301493626,-3.2638432240649213,0.016574098099527347
2025-02-05,MSFT,AMD,-0.0307089896011713,-3.198913256768331,0.020047670423696817
2025-02-05,MSFT,INTC,-0.020707791790808477,-3.1787017297831524,0.021251082954505784
2025-02-05,MSFT,ADBE,-0.006491665528628121,-3.1565957689707798,0.022638612510901886
2025-02-05,MSFT,ORCL,0.08952411777958674,-3.1055535186494088,0.02614492374450012
2025-02-05,MSFT,CRM,0.019613308222953596,-3.1094673585400696,0.025860448768560827
2025-02-05,MSFT,CSCO,0.06696447628096164,-3.0985709047981125,0.026659128851806425
2025-02-05,MSFT,QCOM,0.18778200250987198,-3.0749462725273986,0.028463695345464297
2025-02-05,GOOG,META,0.522570274818297,-2.145099363082449,0.2267706401103004
2025-02-05,GOOG,NVDA,0.3417094910369513,-1.856410129515379,0.35283661172760616
2025-02-05,GOOG,AMD,-0.5080622344464348,-3.1639630769462013,0.022167717070934387
2025-02-05,GOOG,INTC,-0.21058517866411136,-2.008446608032178,0.2828818808450946
2025-02-05,GOOG,ADBE,-0.5879994168746994,-2.4093534724961683,0.13911384471983979
2025-02-05,GOOG,ORCL,0.3297512410930389,-1.7293071818986498,0.4160792863736666
2025-02-05,GOOG,CRM,0.1820022533306983,-1.6957812381389854,0.4332874102985915
2025-02-05,GOOG,CSCO,0.48317599372178427,-1.9397184946821906,0.31361303010850594
2025-02-05,GOOG,QCOM,0.36559922436282677,-1.3122491073766085,0.6235498665298932
2025-02-05,META,NVDA,0.3616295523810138,-0.6364963251581198,0.8625202996865555
2025-02-05,META,AMD,-0.48036809158977695,-2.4829126657601357,0.11968740531071359
2025-02-05,META,INTC,-0.2676303085587457,-1.6729378202732506,0.4451068782172955
2025-02-05,META,ADBE,-0.5000480608872955,-1.4917839330081641,0.5375717237782585
2025-02-05,META,ORCL,0.5218971591481563,-1.817285849994241,0.371914145211189
2025-02-05,META,CRM,0.5896674625408176,-1.680064402252178,0.4414120558003054
2025-02-05,META,CSCO,0.9374814084108511,-3.580847509273124,0.006137917269278631
2025-02-05,META,QCOM,-0.25789571398244815,-1.0477153067274083,0.7354660958996014
2025-02-05,NVDA,AMD,-0.8254672660931368,-2.7937319168638783,0.05917471235085399
2025-02-05,NVDA,INTC,-0.5640793947057214,-2.808083745490259,0.0571283082326164
2025-02-05,NVDA,ADBE,-0.671193033558799,-2.096924411879397,0.24575310807302425
2025-02-05,NVDA,ORCL,1.062124692730188,-2.90541242524679,0.044722216504028175
2025-02-05,NVDA,CRM,0.3530866794092278,-2.3891904971325326,0.1448105826340934
2025-02-05,NVDA,CSCO,1.2723879786572918,-2.4943543910238835,0.11685401226033743
2025-02-05,NVDA,QCOM,0.5176002638750059,-1.8940908720055558,0.33484603698543425
2025-02-05,AMD,INTC,0.38803667549253684,-2.2915839580018473,0.1746966812443494
